customer_id,full_name,email,phone_number,city,signup_date
251212.0,Shanaya Madan,ahana-vora@gmail.com,7332867654.0,Chennai,21-04-2023
848133.0,Mannat Talwar,akarsh20@wason.com,8578396720.0,Pune,11-06-2024
511492.0,Aaryahi Shenoy,rde@gola.info,7994838320.0,Chennai,02-06-2024
128097.0,Jayesh Jha,urvi41@yahoo.com,9834699453.0,Kolkata,24-03-2025
905038.0,Armaan Sarna,nishith98@chauhan.com,7513076043.0,Pune,07-07-2024
541502.0,Ritvik Chatterjee,vsaha@kulkarni-comar.net,7982033579.0,Kolkata,16-11-2024
866511.0,Ayesha Shetty,,8855091969.0,Chennai,31-10-2023
512203.0,Tushar Rau,lmangat@yahoo.com,8215928685.0,Delhi,08-02-2024
553987.0,Samiha Gill,,7518091323.0,Ahmedabad,05-04-2025
209910.0,Priyansh Agrawal,routkartik@gmail.com,7802905101.0,Kolkata,24-11-2023
847839.0,Gokul Varghese,zaina83@tiwari.net,9925325117.0,Pune,16-05-2023
583064.0,Tarini Vyas,sakshambarman@chakraborty.com,9205613992.0,Ahmedabad,13-10-2024
733533.0,Eshani Ramaswamy,gkapadia@hotmail.com,9901804796.0,Pune,09-11-2024
584429.0,Badal Grewal,ohayer@hotmail.com,7999251911.0,Kolkata,22-02-2024
269218.0,Shlok Gola,aliabatra@garde.com,7394687208.0,Ahmedabad,13-06-2023
277847.0,Dhruv Raman,koshyyashvi@balakrishnan.com,8852639340.0,Mumbai,20-09-2023
457035.0,Jhanvi Sehgal,darshitbose@sridhar.biz,8745916414.0,Delhi,24-03-2025
597401.0,Kiaan Bansal,,7766959137.0,Delhi,20-03-2025
531065.0,Navya Agrawal,,7121386682.0,Hyderabad,25-02-2025
266733.0,Adah Kamdar,gokul03@gmail.com,8643563127.0,Mumbai,11-04-2025
718874.0,Azad Andra,myrasagar@gmail.com,7350316294.0,Ahmedabad,28-03-2025
397491.0,Ira Sawhney,nirvaantiwari@hotmail.com,9234330853.0,Pune,05-04-2025
898837.0,Ivana Grover,aarav05@hotmail.com,8006314846.0,Hyderabad,19-06-2024
628023.0,Indranil Andra,kismatgoda@thaman-subramaniam.org,9038756159.0,Mumbai,17-09-2023
217981.0,Farhan Ravel,akarsh27@wadhwa.biz,7176932950.0,Chennai,09-04-2025
486172.0,Hansh Borde,,8578254940.0,Kolkata,25-04-2024
462199.0,Tara Dani,cbajaj@hotmail.com,9559381066.0,Delhi,11-04-2025
249624.0,Biju Choudhary,bhatnagarsuhana@gmail.com,7444474733.0,Chennai,28-03-2025
759139.0,Priyansh Sha,lavanya40@gmail.com,9666390588.0,Bangalore,08-03-2025
474993.0,Charvi Ahluwalia,,7866106217.0,Pune,01-02-2024
903347.0,Trisha Ghosh,aaryahi77@yahoo.com,9403455972.0,Delhi,13-02-2025
