customer_id,full_name,email,phone_number,city,signup_date
996124.0,Pranay Mani,rheakashyap@garg.com,7065258075.0,Kolkata,17-03-2024
978802.0,Shaan Sule,deysahil@walia.com,9264889041.0,Hyderabad,10-09-2024
528729.0,Vaibhav Bhagat,,8736097463.0,Pune,11-05-2023
910990.0,Kiara Karan,hanshbhardwaj@hotmail.com,7705372224.0,Kolkata,18-03-2025
374484.0,Sahil Ram,shankergokul@swaminathan-batta.com,7950512724.0,Chennai,25-04-2023
266010.0,Divij Karnik,dattatejas@gmail.com,9369438905.0,Chennai,01-07-2024
459109.0,Lavanya Balay,bhaminisidhu@gmail.com,7999152987.0,Pune,03-02-2025
758480.0,Damini Toor,divitdada@dave-bahl.net,8045173090.0,Bangalore,05-06-2023
625925.0,Samaira Barad,fkamdar@gmail.com,8064951089.0,Chennai,31-12-2024
447906.0,Ishita Dalal,anikathaker@gmail.com,8979456272.0,Hyderabad,01-04-2025
659028.0,Vanya Dutta,varugheseishaan@yahoo.com,8636452195.0,Pune,07-04-2025
828925.0,Nehmat Bhatnagar,kumerraunak@hotmail.com,7442535693.0,Bangalore,30-06-2024
251603.0,Jiya Sem,ojassampath@seth.info,7351077821.0,Mumbai,14-05-2023
494410.0,Vaibhav Sawhney,rtailor@zachariah.com,8700236945.0,Ahmedabad,04-01-2025
875735.0,Parinaaz Mann,purabbora@borde.com,8483023288.0,Pune,17-03-2025
879908.0,Nayantara Ram,sara46@vohra.com,7677380881.0,Hyderabad,03-08-2023
682461.0,Reyansh Shan,lakshitsavant@halder.com,7230468901.0,Delhi,14-10-2024
420069.0,Tushar Johal,rsha@hotmail.com,8935358592.0,Bangalore,27-02-2024
345929.0,Lakshay Kari,,7057946723.0,Bangalore,25-01-2025
496955.0,Navya Dhawan,,8576363819.0,Chennai,14-08-2024
463359.0,Miraya Manne,,7573883407.0,Mumbai,03-05-2024
509222.0,Nitara Hegde,rajbiju@hotmail.com,9613764733.0,Pune,29-03-2024
594165.0,Piya Ramachandran,,8891385025.0,Bangalore,29-09-2023
636395.0,Yashvi Hora,,8425403383.0,Kolkata,15-09-2024
421030.0,Kimaya Bansal,ganeshtejas@hotmail.com,8700213645.0,Pune,03-03-2024
